CERT,PC1,PC2,PC3
10004,1.861682765801702,-0.8280599435959214,0.8535640148459804
10012,-0.5009935682851372,0.015497033583801098,-0.4216908816971524
10015,0.5708166386862907,-0.07331216120773631,0.5734555012553645
10044,-1.374737564007133,0.7556457606045902,1.9493269607796762
10055,0.2512092264122047,1.110970647054,-0.8270773841312838
10057,-2.54625775644173,1.2095506576906971,1.8063182271166112
1005,-0.2930462739312288,-1.2663120740737113,-0.9919625322756277
10072,0.04457870515900233,-0.4540518005411946,-0.46503601684522533
10074,0.4698915045494059,0.8088678730158655,-0.8450158940535075
10075,-0.5339949939939573,-0.0038132608364471986,-0.6513554001309121
10077,-4.1331953081729935,2.203632451804736,3.4535344479086465
1008,1.5839319167633608,0.4831973723462012,1.5154202342964058
10101,0.2706634025837521,0.745235895239687,-0.5975780982511442
10111,-0.3914271116037634,-0.06832804295584402,0.029827328611808975
10118,0.31382258575943334,-1.067358787923341,0.4552262507617683
10120,-1.5943111432118988,-1.814765644443054,1.9992061787121762
10121,-2.662896940280561,0.9332671876600974,1.6110850785054698
10122,-0.7777478832170134,-1.0101939036293555,-0.89454361673321
10125,-0.8669584817367469,-1.5487881959792056,-1.0603232872193298
10127,-0.2311583189054391,0.6298338889733629,-0.047703322396240366
10132,-0.4252344502817136,0.09208910046254859,-0.7020769725724983
10137,1.1749010938671947,-0.40738334662512343,1.2939250836251477
1014,0.23324069747240986,-0.8514065484388675,-0.6058681616286997
10157,-0.20583963747553957,-0.65716789818178,-1.0928310341412615
10159,-0.11487326146684518,-0.16754429886189529,-1.0377555982115352
10162,0.23209733623386167,0.6112569542483736,-0.2513385408930044
10163,0.1913848038738673,0.6964321826453259,-0.7373193979954388
10165,1.1716412689646585,0.3255215042871061,0.0032642647844943616
10167,-1.0070332049710065,-0.2506016365755251,0.16420397536792375
10168,0.007212258838849854,0.09150566608673417,-1.0630524571427071
10169,0.38682396223797816,0.7249348396268841,-1.118306972531934
10174,0.7726197672365478,0.981779733301129,-1.3358050948974804
10175,0.856958904245303,-0.028943245907346128,0.5952114212919636
10178,1.0999303126246152,0.7321382492026363,-0.07415686432654756
10185,0.4596621987530414,1.7607137226911371,-0.038212919088370274
10187,-1.7790264466142123,-0.02882059361783514,1.0443744473578627
10191,0.9689364549166346,1.8298860378183677,0.06066595483828849
10194,-0.015042739099250229,-0.588235473851903,-1.2614726006494772
10197,1.4222018424936167,-1.6067316272011016,0.7492987289197648
10200,-0.27004226356939826,1.612545015894803,-0.1505783931305885
10202,2.9352055009405906,-0.7592731939062919,1.952275803730275
10212,-0.6265554919448798,-1.2141851677778273,0.6252076597139713
10214,-0.9064702995280447,-0.19431745067061656,-0.16724368602028178
10218,-0.1317286881303363,-1.316761963732043,-0.8370943276438082
10236,1.9949218999497393,-0.7663012806702741,1.9007173193247873
10243,1.619580195346673,-0.0734436271361835,0.4941241229966595
10248,1.8473013981827122,-0.6103737803813526,0.8773619299567544
10250,0.27423683200851917,-0.548928739725817,-0.46784547577341373
10253,-0.6507680865608282,0.9068196161158256,-0.1398619237768762
10255,-0.8035518366790781,-1.7502844530225272,-1.2027368001557357
10266,-0.972061637502465,-0.1604435046050837,-0.014316058718024525
1027,2.080461199381537,-0.9960016672225153,0.9050054175976979
10280,1.1819620120820453,0.736733959537226,2.3345096233165257
1028,0.4907300252880134,0.15375667873832863,-0.25717882308318263
10307,0.6667837607968837,1.226715412076624,-0.399783207437451
10308,0.7550379579633021,-0.27703672520992517,-0.085021278019227
10315,0.043102849297791034,-0.5925971656331085,-1.0783757769511844
10317,-1.3764986802243788,0.19247058418627724,0.5087239983275686
10319,1.9227562253770711,-1.8084714583284602,1.6417487969003939
10330,2.820782845996491,0.20910746531704089,1.888159028400789
10344,-0.5943984961290918,0.8186541801227756,-0.08731501900984691
10345,-0.15743219292823885,0.3873356229302399,-0.8003185963561332
10352,0.6201970153068826,1.9813287720818136,-0.600184683521444
10363,0.04879485199738595,0.8240444267930597,-0.5787160245875087
10374,-1.1051764057943634,-0.07974605372593432,-0.0024101939370742304
10378,0.8436641850203271,-0.29195961813327853,-0.2851876581204232
10380,-0.5986951708841819,-0.1370154051023936,-0.42956044350318895
10382,0.2046349446773348,0.011570160941786317,0.22618220004212095
10383,-0.6900976521824892,-1.2689906781462579,-0.7687876087928613
10384,1.3938059335123825,-0.4605527586567351,0.31648740870297015
10407,-2.43975772151572,0.5555889786630349,1.3890800569098622
10434,0.6887173025920468,-2.3977895596975567,2.0121518353763634
10437,-0.0852312373656143,-0.4190917321705007,0.2937965831029584
10438,0.3287533415619683,-1.039200594553591,0.8751072393871269
10446,0.2190652110775376,0.8977124485108917,-0.6962501078821804
10458,0.6196426540749003,-0.28138635638171605,-0.40548924945353615
10460,0.2776946076124018,2.7519406095397243,-0.044886649282713874
10463,-0.48789951600229703,-1.7777202224037845,-1.1485061907508876
10467,0.10211423452690549,1.7797093933486443,-0.15945348670127016
10469,-1.8207006636345109,0.539345503961502,1.3824958716977866
10471,-0.8112844094218787,-1.2362469603967043,-0.9674974972760799
10473,0.08568542126539583,-0.2536220003737227,-1.0272578956795897
10474,0.936327728012536,-0.9682007829030973,0.758234183351643
1047,-0.3901696374508224,-0.3292335445949546,-0.47791193512974817
10492,-1.185690626257052,-0.12837165782199242,-0.14448348924773183
10494,-1.2489412788803194,-0.8443638959286065,0.2085110578182438
10497,-0.6783448432072344,-0.33739177950415083,-0.3201170378290547
1049,-1.0208134343386286,0.04079004038112896,0.03569461320102986
10500,-1.439252342705225,-0.7895463601871344,0.10548019786537831
10503,-2.087062981635545,-0.5301020559316696,0.4531202514678471
10505,-0.30024608354319765,-0.6178447132679382,-0.41977408089988094
10520,0.8384562746223354,0.9682053174629188,-1.3458964403724598
10523,-1.6189282565773853,-1.7812030449239808,-0.3344071832797449
10528,0.17192378810525927,1.5130564801463255,0.20207714978431388
10531,1.4546458134050435,0.10860485646865915,0.49503882683639816
10532,1.5091352346755906,0.6366790432423942,1.0016493660706922
10533,0.544798034391142,0.37718607992997816,0.24778504340217428
10561,-0.19809142281064238,0.5885112741271755,-0.49590690642683344
10567,1.2635258127211397,1.1477225762916048,-1.076361444605325
10571,-0.4982832062088439,0.2004386127555154,-0.3848908825288409
10576,0.11242126833015822,-0.29094426403672785,-1.2439853130290341
1058,-0.17758816321343376,-0.4927898528523955,-0.0840747961322343
10594,1.076117929940406,0.8339704471332955,0.896688346717631
10595,1.197600755847592,1.0495484488167117,-0.4618364246969728
105,2.1292383882068084,-0.7103328208432772,0.7695601355159931
10608,1.6311609121136608,-0.12127974178871131,0.08904495842393778
1060,-0.5039396605896519,-0.028377940088535197,-0.5685302587334102
10618,0.6584655498490704,0.36419349777483545,0.18661602226077909
