CERT,anomaly_flag,anomaly_score
10004,1,0.02064477481228466
10012,1,0.1255994541394948
10015,1,0.06293493922366405
10044,-1,-0.06535190835909888
10055,1,0.08735631235516905
10057,-1,-0.032813133319322785
1005,1,0.05316131259923984
10072,1,0.09238446716299586
10074,1,0.08796101224147818
10075,1,0.11821572478828468
10077,-1,-0.17092202303931636
1008,-1,-0.025906746103917078
10101,1,0.0949135441601518
10111,1,0.08159768961482117
10118,1,0.024066907900688606
10120,-1,-0.165934445020828
10121,-1,-0.028670793042722575
10122,1,0.06293511070798669
10125,1,0.024947889931071887
10127,1,0.07963565613844398
10132,1,0.1184427303717136
10137,1,0.012524838094195245
1014,1,0.07324502591023935
10157,1,0.09951903368885118
10159,1,0.1061372333785886
10162,1,0.09012260382364984
10163,1,0.10850003506680977
10165,1,0.05183201618346339
10167,1,0.08778691768730651
10168,1,0.08829005901160408
10169,1,0.0860432336493574
10174,1,0.05019036829300755
10175,1,0.05387981658444946
10178,1,0.04684858111979945
10185,1,0.016144035329006434
10187,1,0.0006586175358340163
10191,-1,-0.02207894635107044
10194,1,0.08123545271001259
10197,-1,-0.02907514996494487
10200,1,0.050016493805430384
10202,-1,-0.1288354027644566
10212,1,0.001588767774713118
10214,1,0.10875772712180665
10218,1,0.035902687786294796
10236,-1,-0.07304309307544299
10243,1,0.02456766746893352
10248,1,0.013738254537858319
10250,1,0.08424281367879483
10253,1,0.08167679826351504
10255,-1,-0.008934276704305466
10266,1,0.09994553691935698
1027,-1,-0.022618427029784227
10280,-1,-0.12175928649769241
1028,1,0.08183908698454401
10307,1,0.058794269350195105
10308,1,0.07070807475098229
10315,1,0.10248135116485413
10317,1,0.0648738103098696
10319,-1,-0.10121499093754982
10330,-1,-0.113405605187204
10344,1,0.07890489145513341
10345,1,0.09705428846056496
10352,1,0.0005956576713247452
10363,1,0.1091575377683931
10374,1,0.09375223294511165
10378,1,0.07013970647193601
10380,1,0.12971707537300592
10382,1,0.09166228007408678
10383,1,0.04899126286824412
10384,1,0.046283954276631734
10407,-1,-0.015140508602278446
10434,-1,-0.13610221795643462
10437,1,0.08321562063558802
10438,1,0.01944679241067654
10446,1,0.10472099146320596
10458,1,0.07128455571379394
10460,-1,-0.08036404337985181
10463,-1,-0.02080654738992671
10467,1,0.016215429796246572
10469,-1,-0.0006777231337038447
10471,1,0.052949947939258835
10473,1,0.10692412026205422
10474,1,0.022627750637598365
1047,1,0.11746912138822868
10492,1,0.08162118348893332
10494,1,0.0422510425281451
10497,1,0.11226757008810945
1049,1,0.10284458358170678
10500,1,0.04474709339713229
10503,-1,-0.011789480050179102
10505,1,0.08561094235724315
10520,1,0.035070645418162294
10523,-1,-0.06354487440082623
10528,1,0.02597461923742883
10531,1,0.03995367880389611
10532,1,0.006465519325586366
10533,1,0.07972693946223214
10561,1,0.10935420667372636
10567,-1,-0.02124583166377081
10571,1,0.1214653623379155
10576,1,0.09123382175926598
1058,1,0.09579402109437707
10594,1,0.010558578142478792
10595,1,0.02494736074127102
105,-1,-0.01885662223214224
10608,1,0.010117713552936003
1060,1,0.12258284386775675
10618,1,0.07594289259840287
10619,1,0.1069111753950342
10623,1,0.030755287581702317
10626,1,0.03243745340203391
10628,1,0.09386671658118939
10634,1,0.060711079505675
10635,1,0.07606624542929802
10639,1,0.11144842354468243
10641,1,0.0842275076648013
10643,1,0.10762943980114764
10647,1,0.05567257990922647
10663,1,0.0700607962022265
10667,1,0.07432897913002412
10672,1,0.10428162237363614
10674,-1,-0.06827052635786057
10677,1,0.09682928590850015
10685,-1,-0.07456235875348116
1068,-1,-0.01895562764398495
10704,1,0.02009248313511719
10709,1,0.0518973937629989
1073,1,0.013304394864028124
10741,1,0.06230732899069946
10788,-1,-0.0446283604905644
10791,-1,-0.03512548600281351
10799,1,0.07906037800897175
107,1,0.10886398951515397
10803,1,0.08524507712749907
10804,1,0.11704172724708756
10809,1,0.03221148273143981
10820,1,0.0410438191944868
10821,-1,-0.023668001989117116
10829,1,0.0878331788064653
