BKCLASS,CB,CERT,CITY,EDEPDOM,EDEPFOR,EFFDATE,EFREPP,EINTEXP,ELNATR,EOTHINT,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NIM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,57444,CITY OF INDUSTRY,8146.0,0.0,2022-08-31,0.0,8163.0,730.0,17.0,2003-10-06,14,14,12,LOS ANGELES,57444_20250930,DIF,2003-10-06,0,AMERICAN CONTINENTAL BANK,AMERICAN CONTINENTAL BCORP,10524.0,4,7,0,0,FDIC,2025-09-30,4842721.0,4,CA,0,0,91748
NM,0.0,57449,SALT LAKE CITY,59689.0,0.0,2022-08-31,4.0,59728.0,54937.0,35.0,2003-12-22,14,14,12,SALT LAKE CITY,57449_20250930,DIF,2003-12-22,0,MEDALLION BANK,Unknown,161671.0,4,1,0,0,FDIC,2025-09-30,0.0,6,UT,0,0,84121
N,0.0,5744,ANTIOCH,34482.0,0.0,2022-08-31,642.0,36839.0,1558.0,1715.0,1926-01-01,9,9,7,CHICAGO,5744_20250930,DIF,1934-01-01,0,"STATE BANK OF THE LAKES, NATIONAL ASSOCIATION",WINTRUST FINANCIAL CORP,53325.0,3,9,0,0,OCC,2025-09-30,2260406.0,4,IL,0,1,60002
SM,0.0,57450,WESTLAKE,1157000.0,0.0,2022-08-31,200000.0,1679000.0,1000.0,322000.0,2003-04-28,13,16,11,DENVER,57450_20250930,DIF,2003-04-28,0,"CHARLES SCHWAB BANK, SSB",CHARLES SCHWAB CORP THE,2807000.0,5,1,0,0,FED,2025-09-30,1026632.0,5,TX,0,1,76262
NM,1.0,57451,SEATTLE,15705.0,0.0,2022-08-31,0.0,16503.0,22.0,798.0,1953-01-01,14,14,12,SEATTLE,57451_20250930,DIF,2003-05-19,0,SOUND COMMUNITY BANK,SOUND FINANCIAL BCORP INC,26871.0,4,10,0,0,FDIC,2025-09-30,3843646.0,4,WA,0,0,98121
NM,0.0,57463,LOS ANGELES,69064.0,0.0,2023-11-18,0.0,70420.0,3004.0,1356.0,2003-09-18,14,14,12,LOS ANGELES,57463_20250930,DIF,2003-09-18,0,PCB BANK,PCB BCORP,77251.0,4,19,0,0,FDIC,2025-09-30,3595084.0,4,CA,0,0,90010
NM,1.0,57465,LEWISBURG,12741.0,0.0,2025-02-01,0.0,12766.0,840.0,25.0,2002-12-02,13,13,6,NASHVILLE,57465_20250930,DIF,2002-12-02,0,FIRST COMMERCE BANK,FIRST COMMERCE BCORP INC,27169.0,5,6,0,0,FDIC,2025-09-30,3465909.0,4,TN,0,0,37091
NM,1.0,57468,OWATONNA,1541.0,0.0,2024-06-30,11.0,1552.0,122.0,0.0,2003-01-13,11,11,9,MINNEAPOLIS,57468_20250930,DIF,2003-01-13,0,COMMUNITY BANK OWATONNA,COMMUNITY FINANCIAL CORP,2010.0,3,1,0,0,FDIC,2025-09-30,3139312.0,4,MN,0,0,55060
SB,0.0,57470,TAMPA,16.0,0.0,2022-08-31,0.0,16.0,0.0,0.0,2003-10-30,5,5,6,TAMPA,57470_20250930,DIF,2003-10-30,0,MEMBERS TRUST COMPANY,Unknown,846.0,5,4,0,0,OCC,2025-09-30,0.0,5,FL,0,0,33637
NM,1.0,57483,GUNTERSVILLE,14941.0,0.0,2022-08-31,37.0,15925.0,-9.0,947.0,2003-03-03,5,5,6,SHELBY,57483_20250930,DIF,2003-03-03,0,CITIZENS BANK & TRUST,CITIZENS B&T HOLDINGS INC,20358.0,5,10,0,0,FDIC,2025-09-30,3439179.0,4,AL,0,0,35976
