BKCLASS,CB,CERT,CITY,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAAG,NAAGSM,NAASSET,NAAUTO,NACI,NACINUS,NACON,NACONOTH,NACRCD,NADEP,NADEPNUS,NAFG,NAGTY,NAGTYGNM,NAGTYPAR,NALNSALE,NALS,NAMEFULL,NAMEHCR,NAOTHLN,NARE,NAREAG,NARECNFM,NARECNOT,NARECONS,NAREFOR,NARELNDO,NARELOC,NAREMULT,NARENRES,NARENROT,NARENROW,NARENUS,NARERES,NARERSF2,NARERSFM,NASCDEBT,OCCDIST,OFFDOM,OFFOA,P3AG,P3AGSM,P3ASSET,P3AUTO,P3CI,P3CINUS,P3CON,P3CONOTH,P3CRCD,P3DEP,P3DEPNUS,P3FG,P3GTY,P3GTYGNM,P3GTYPAR,P3LNSALE,P3LS,P3OTHLN,P3RE,P3REAG,P3RECNFM,P3RECNOT,P3RECONS,P3REFOR,P3RELNDO,P3RELOC,P3REMULT,P3RENRES,P3RENROT,P3RENROW,P3RENUS,P3RERES,P3RERSF2,P3RERSFM,P3SCDEBT,P9AG,P9AGSM,P9ASSET,P9AUTO,P9CI,P9CINUS,P9CON,P9CONOTH,P9CRCD,P9DEP,P9DEPNUS,P9FG,P9GTY,P9GTYGNM,P9GTYPAR,P9LNSALE,P9LS,P9OTHLN,P9RE,P9REAG,P9RECNFM,P9RECNOT,P9RECONS,P9REFOR,P9RELNDO,P9RELOC,P9REMULT,P9RENRES,P9RENROT,P9RENROW,P9RENUS,P9RERES,P9RERSF2,P9RERSFM,P9SCDEBT,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,10004,MARKESAN,2023-03-22,1910-01-20,9,9,7,MADISON,10004_20250930,DIF,1934-01-01,0,0.0,1534.0,3771,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERGO BANK,FS BANCSHARES INC,1534.0,1911.0,1331.0,0.0,0.0,0.0,0.0,1911,0.0,500.0,0.0,0.0,0.0,0.0,80.0,0.0,80.0,0.0,3,6,0,0.0,57.0,78,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1249691.0,2,WI,0,0,53946
NM,1.0,10011,MONROE,2022-08-31,1915-01-01,9,9,7,MADISON,10011_20250930,DIF,1934-01-01,0,0.0,0.0,883,0.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODFORD STATE BANK,WOODFORD BANCSHARES INC,0.0,81.0,0.0,0.0,0.0,0.0,0.0,81,13.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,68.0,0.0,3,6,0,0.0,0.0,468,0.0,137.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,320,37.0,0.0,198.0,0.0,198.0,0.0,122.0,0.0,85.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2961347.0,4,WI,1,0,53566
NM,1.0,10012,ALMOND,2022-08-31,1901-01-01,9,9,7,APPLETON,10012_20250930,DIF,1934-01-01,0,0.0,0.0,270,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE PORTAGE COUNTY BANK,PORTAGE COUNTY BANCSHARES INC,0.0,269.0,0.0,0.0,111.0,111.0,0.0,269,0.0,0.0,100.0,0.0,100.0,0.0,58.0,0.0,58.0,0.0,3,4,0,0.0,0.0,286,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,161,0.0,0.0,47.0,0.0,47.0,0.0,114.0,0.0,114.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1141133.0,4,WI,1,0,54909
NM,1.0,10015,NEW AUBURN,2022-08-31,1907-08-28,9,9,9,EAU CLAIRE,10015_20250930,DIF,1934-01-01,0,0.0,0.0,2499,0.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SECURITY BANK,SECURITY BANK SHARES INC,42.0,2210.0,299.0,0.0,0.0,0.0,0.0,2210,130.0,0.0,1434.0,0.0,1434.0,0.0,477.0,0.0,347.0,0.0,3,4,0,0.0,0.0,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,221,0.0,0.0,221.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1128497.0,4,WI,0,0,54757
N,1.0,10044,FOND DU LAC,2022-08-31,1933-12-20,9,9,7,APPLETON,10044_20250930,DIF,1934-01-01,0,0.0,206.0,36372,28.0,1118.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NATIONAL EXCHANGE BANK AND TRUST,NEB CORP,206.0,35013.0,429.0,0.0,0.0,0.0,0.0,35013,339.0,0.0,33338.0,32932.0,406.0,0.0,1246.0,481.0,426.0,0.0,3,34,0,0.0,0.0,1264,23.0,573.0,0.0,159.0,134.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,45.0,0.0,0.0,0.0,0.0,532,25.0,0.0,130.0,130.0,0.0,0.0,357.0,0.0,332.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,OCC,2025-09-30,1202052.0,4,WI,0,1,54935
NM,1.0,10055,WAYCROSS,2022-08-31,1907-06-19,5,5,6,ALBANY GA,10055_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIRST SOUTHERN BANK,FSBH CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,5685653.0,4,GA,0,0,31501
NM,1.0,10057,SPARTA,2022-08-31,1904-09-01,5,5,6,ATLANTA,10057_20250930,DIF,1934-01-01,0,0.0,0.0,95,25.0,25.0,0.0,60.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BANK OF HANCOCK COUNTY,Unknown,0.0,10.0,0.0,0.0,10.0,10.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,371,67.0,0.0,0.0,97.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,274,0.0,0.0,0.0,0.0,0.0,0.0,274.0,0.0,274.0,0.0,0.0,0.0,32,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0,FDIC,2025-09-30,0.0,7,GA,0,0,31087
SM,1.0,1005,MOUNT PLEASANT,2022-10-09,1903-07-01,9,9,7,DETROIT,1005_20250930,DIF,1934-01-01,0,0.0,0.0,3442,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ISABELLA BANK,ISABELLA BANK CORP,0.0,3426.0,0.0,0.0,0.0,0.0,0.0,3426,0.0,0.0,0.0,0.0,0.0,0.0,3426.0,0.0,3426.0,0.0,3,31,0,0.0,0.0,500,7.0,100.0,0.0,85.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,315,0.0,0.0,139.0,139.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0,FED,2025-09-30,1401118.0,4,MI,0,1,48858
NM,1.0,10072,CAMILLA,2022-08-31,1913-05-24,5,5,6,ALBANY GA,10072_20250930,DIF,1934-01-01,0,0.0,0.0,555,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PLANTERS AND CITIZENS BANK,P&C BANK SHARES INC,0.0,497.0,0.0,0.0,0.0,0.0,0.0,497,0.0,0.0,322.0,322.0,0.0,0.0,175.0,0.0,175.0,0.0,5,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1081529.0,2,GA,0,0,31730
NM,1.0,10074,IRWINTON,2022-07-19,1907-07-16,5,5,6,ATLANTA,10074_20250930,DIF,1934-01-01,0,0.0,0.0,60,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,APEX BANKING COMPANY OF GEORGIA,Unknown,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,5,2,0,0.0,0.0,25,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0,FDIC,2025-09-30,0.0,8,GA,0,0,31042
NM,1.0,10075,COLFAX,2022-08-31,1892-06-01,9,9,7,CHAMPAIGN,10075_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PEOPLES STATE BANK OF COLFAX,PEOPLES FINANCIAL CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2128896.0,2,IL,0,0,61728
NM,1.0,10077,EMDEN,2022-08-31,1891-05-25,9,9,7,SPRINGFIELD IL,10077_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FARMERS STATE BANK OF EMDEN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,55,4.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,0.0,2,IL,0,1,62635
SM,1.0,1008,BROOKLYN,2022-08-31,1907-10-01,9,9,7,DETROIT,1008_20250930,DIF,1934-01-01,0,0.0,0.0,2784,0.0,1668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,1347.0,0.0,0.0,BANK MICHIGAN,BANK MICHIGAN FINANCIAL CORP,0.0,1116.0,0.0,0.0,0.0,0.0,0.0,1116,0.0,0.0,854.0,363.0,491.0,0.0,262.0,0.0,262.0,0.0,3,3,0,0.0,0.0,1918,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,0.0,0.0,0.0,716,90.0,0.0,525.0,0.0,525.0,0.0,191.0,0.0,101.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FED,2025-09-30,5620971.0,4,MI,0,0,49230
NM,1.0,10101,NAPOLEON,2022-08-31,1903-12-09,9,9,7,INDIANAPOLIS,10101_20250930,DIF,1934-01-01,0,0.0,0.0,620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE NAPOLEON STATE BANK,NAPOLEON BCORP,0.0,620.0,461.0,0.0,0.0,0.0,0.0,620,159.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,3,7,0,0.0,6.0,1140,68.0,60.0,0.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1002.0,192.0,0.0,0.0,0.0,0.0,1002,259.0,0.0,72.0,0.0,72.0,0.0,738.0,0.0,479.0,0.0,0.0,0.0,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,116.0,0.0,0.0,0.0,0.0,0.0,116,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,0,FDIC,2025-09-30,1210525.0,2,IN,0,1,47034
NM,1.0,10111,CASCADE,2024-06-30,1903-02-28,11,11,7,CEDAR RAPIDS,10111_20250930,DIF,1934-01-01,0,0.0,0.0,1939,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OHNWARD BANK & TRUST,OHNWARD BANCSHARES INC,0.0,1658.0,0.0,0.0,0.0,0.0,0.0,1658,38.0,0.0,1465.0,1378.0,87.0,0.0,193.0,0.0,155.0,0.0,4,6,0,0.0,0.0,1078,16.0,0.0,0.0,53.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,0.0,0.0,817.0,817.0,0.0,1025,87.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,121.0,0.0,0.0,0.0,122,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,87,0.0,0.0,87.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1200311.0,2,IA,0,1,52033
NM,1.0,10118,PELLA,2024-06-30,1911-07-14,11,11,7,DES MOINES,10118_20250930,DIF,1934-01-01,0,0.0,182.0,2948,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LEIGHTON STATE BANK,LEIGHTON INVESTMENT CO,182.0,2698.0,0.0,697.0,0.0,697.0,0.0,2698,0.0,0.0,1763.0,0.0,1763.0,0.0,238.0,0.0,238.0,0.0,4,4,0,0.0,0.0,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,233.0,0.0,0.0,0.0,0.0,0.0,233,30.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,203.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1137172.0,2,IA,1,0,50219
NM,1.0,10120,LOWDEN,2024-06-30,1913-10-01,11,11,7,CEDAR RAPIDS,10120_20250930,DIF,1934-01-01,0,0.0,532.0,550,0.0,13.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMERICAN TRUST AND SAVINGS BANK,LOWDEN BANCSHARES INC,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,573,0.0,547.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1140846.0,2,IA,0,1,52255
NM,1.0,10121,DURANT,2024-06-30,1905-01-01,11,11,7,CEDAR RAPIDS,10121_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LIBERTY TRUST & SAVINGS BANK,LIBERTY BCORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0.0,443.0,619,0.0,93.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1204784.0,2,IA,0,1,52747
NM,1.0,10122,TRAER,2024-06-30,1915-01-01,11,11,7,DES MOINES,10122_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FARMERS SAVINGS BANK & TRUST,TALEN INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1202333.0,2,IA,1,1,50675
NM,1.0,10125,ANAMOSA,2024-06-30,1906-11-08,11,9,7,CEDAR RAPIDS,10125_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CITIZENS SAVINGS BANK,FIRST CMTY BANCSHARES CORP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1990096.0,2,IA,1,1,52205
NM,1.0,10127,BLOOMFIELD,2024-06-30,1900-01-01,11,11,7,DES MOINES,10127_20250930,DIF,1934-01-01,0,0.0,105.0,759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUCCESS BANK,GARRETT BANCSHARES LTD,105.0,654.0,654.0,0.0,0.0,0.0,0.0,654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0.0,0.0,114,10.0,0.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,92,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1205044.0,2,IA,1,1,52537
NM,1.0,10132,AMES,2024-06-30,1902-01-01,11,11,7,DES MOINES,10132_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXCHANGE STATE BANK,MID AMERICA BANKS INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0.0,0.0,460,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,181.0,0.0,0.0,0.0,0.0,0.0,181,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,181.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1247905.0,2,IA,1,1,50010
NM,1.0,10137,GRAYSON,2022-08-31,1891-01-01,9,9,4,LEXINGTON,10137_20250930,DIF,1934-01-01,0,0.0,0.0,1846,0.0,74.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE COMMERCIAL BANK OF GRAYSON,COMMERCIAL GRAYSON BANCSHARES,0.0,1700.0,0.0,0.0,0.0,0.0,0.0,1700,0.0,0.0,1231.0,1231.0,0.0,0.0,469.0,0.0,469.0,0.0,3,3,0,0.0,0.0,2709,200.0,791.0,0.0,431.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1475.0,0.0,54.0,0.0,54.0,0.0,1475,0.0,0.0,545.0,545.0,0.0,0.0,876.0,0.0,876.0,0.0,0.0,0.0,2419,47.0,445.0,0.0,72.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,0.0,0.0,0.0,0.0,0.0,1902,0.0,0.0,422.0,422.0,0.0,0.0,1480.0,0.0,1480.0,0.0,0,FDIC,2025-09-30,1071810.0,4,KY,0,0,41143
NM,1.0,10145,MUNFORDVILLE,2023-11-06,1890-02-20,9,9,8,LOUISVILLE,10145_20250930,DIF,1934-01-01,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HART COUNTY BANK AND TRUST COMPANY,HART BANCSHARES INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1118836.0,4,KY,0,1,42765
