BKCLASS,CB,CERT,CITY,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAAG,NAAGSM,NAASSET,NAAUTO,NACI,NACINUS,NACON,NACONOTH,NACRCD,NADEP,NADEPNUS,NAFG,NAGTY,NAGTYGNM,NAGTYPAR,NALNSALE,NALS,NAMEFULL,NAMEHCR,NAOTHLN,NARE,NAREAG,NARECNFM,NARECNOT,NARECONS,NAREFOR,NARELNDO,NARELOC,NAREMULT,NARENRES,NARENROT,NARENROW,NARENUS,NARERES,NARERSF2,NARERSFM,NASCDEBT,OCCDIST,OFFDOM,OFFOA,P3AG,P3AGSM,P3ASSET,P3AUTO,P3CI,P3CINUS,P3CON,P3CONOTH,P3CRCD,P3DEP,P3DEPNUS,P3FG,P3GTY,P3GTYGNM,P3GTYPAR,P3LNSALE,P3LS,P3OTHLN,P3RE,P3REAG,P3RECNFM,P3RECNOT,P3RECONS,P3REFOR,P3RELNDO,P3RELOC,P3REMULT,P3RENRES,P3RENROT,P3RENROW,P3RENUS,P3RERES,P3RERSF2,P3RERSFM,P3SCDEBT,P9AG,P9AGSM,P9ASSET,P9AUTO,P9CI,P9CINUS,P9CON,P9CONOTH,P9CRCD,P9DEP,P9DEPNUS,P9FG,P9GTY,P9GTYGNM,P9GTYPAR,P9LNSALE,P9LS,P9OTHLN,P9RE,P9REAG,P9RECNFM,P9RECNOT,P9RECONS,P9REFOR,P9RELNDO,P9RELOC,P9REMULT,P9RENRES,P9RENROT,P9RENROW,P9RENUS,P9RERES,P9RERSF2,P9RERSFM,P9SCDEBT,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,17169,GOLDEN MEADOW,2023-09-19,1953-01-16,13,13,6,BATON ROUGE,17169_20250930,DIF,1953-01-16,0,0.0,0.0,598,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STATE BANK & TRUST COMPANY,SBT BANCSHARES INC,0.0,492.0,0.0,0.0,0.0,0.0,0.0,492,0.0,0.0,492.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0.0,0.0,326,13.0,0.0,0.0,51.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,97.0,97.0,0.0,275,0.0,0.0,109.0,109.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,0.0,4,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2145950.0,4,LA,1,0,70357
NM,1.0,17174,FAIRMOUNT,2024-06-30,1953-01-02,11,11,9,FARGO,17174_20250930,DIF,1953-01-02,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PEOPLES STATE BANK, FAIRMOUNT, N. D.",DAKOTAH BANKSHARES INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2359328.0,2,ND,0,0,58030
SI,1.0,17180,MEREDITH,2024-11-17,1869-01-01,2,2,1,CONCORD,17180_20250930,DIF,1953-01-28,0,0.0,0.0,5743,0.0,784.0,0.0,562.0,562.0,0.0,0.0,0.0,0.0,374.0,0.0,498.0,0.0,0.0,MEREDITH VILLAGE SAVINGS BANK,NEW HAMPSHIRE MUTUAL BCORP,0.0,4397.0,0.0,0.0,270.0,270.0,0.0,4397,443.0,0.0,870.0,0.0,870.0,0.0,3257.0,0.0,2814.0,0.0,1,18,0,0.0,0.0,1166,23.0,0.0,0.0,403.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,0.0,0.0,0.0,0.0,0.0,763,150.0,0.0,0.0,0.0,0.0,0.0,763.0,0.0,613.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,4436559.0,5,NH,0,0,03253
NM,1.0,17190,CAMILLA,2022-08-31,1890-01-01,5,5,6,ALBANY GA,17190_20250930,DIF,1953-03-06,0,0.0,0.0,519,12.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BANK OF CAMILLA,CAMILLA BANCSHARES INC,0.0,506.0,480.0,0.0,0.0,0.0,0.0,506,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,5,1,0,0.0,0.0,392,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,388,0.0,0.0,351.0,0.0,351.0,0.0,37.0,0.0,37.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2087939.0,2,GA,0,0,31730
NM,1.0,17193,PENSACOLA,2022-08-31,1953-03-18,5,5,6,MONTGOMERY,17193_20250930,DIF,1953-03-18,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE WARRINGTON BANK,FIVE FLAGS BANKS INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,1129515.0,7,FL,0,0,32507
NM,1.0,17205,POTTER,2024-06-30,1945-03-19,11,11,10,GRAND ISLAND,17205_20250930,DIF,1953-04-13,0,0.0,0.0,195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE POTTER STATE BANK OF POTTER,ENEVOLDSEN MANAGEMENT CO,0.0,195.0,0.0,0.0,0.0,0.0,0.0,195,0.0,0.0,195.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0.0,0.0,90,11.0,78.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,2046516.0,2,NE,0,0,69156
NM,1.0,1720,LUBBOCK,2025-06-06,1909-01-01,13,13,11,LUBBOCK,1720_20250930,DIF,1934-01-01,0,0.0,0.0,599,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WESTERN BANK,CIRCLE I BANK GROUP INC,0.0,560.0,0.0,0.0,0.0,0.0,0.0,560,0.0,0.0,40.0,0.0,40.0,0.0,520.0,0.0,520.0,0.0,5,10,0,0.0,0.0,12794,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12783.0,0.0,0.0,0.0,0.0,0.0,12783,0.0,0.0,12783.0,12673.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,4442523.0,4,TX,1,1,79401
SM,1.0,17211,BATESVILLE,2022-08-31,1953-04-24,13,13,8,LITTLE ROCK,17211_20250930,DIF,1953-04-24,0,0.0,0.0,3527,69.0,1553.0,0.0,91.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THE CITIZENS BANK,CITIZENS BANCSHARES BATESVILLE,1.0,1882.0,398.0,0.0,17.0,17.0,0.0,1882,0.0,0.0,721.0,0.0,721.0,0.0,746.0,110.0,636.0,0.0,5,16,0,0.0,107.0,2014,1.0,603.0,0.0,63.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1240.0,0.0,0.0,0.0,0.0,0.0,1240,0.0,0.0,77.0,0.0,77.0,0.0,1163.0,46.0,1117.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FED,2025-09-30,1131077.0,4,AR,0,1,72501
NM,1.0,17214,SEALY,2022-08-31,1907-08-12,13,13,11,HOUSTON,17214_20250930,DIF,1953-04-24,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CITIZENS STATE BANK,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,0.0,0.0,10,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FDIC,2025-09-30,0.0,5,TX,0,0,77474
NM,1.0,17229,HENDERSON,2024-11-05,1943-10-13,11,11,10,GRAND ISLAND,17229_20250930,DIF,1953-06-17,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HENDERSON STATE BANK,HENDERSON STATE CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0,0.0,0.0,437,23.0,47.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.0,0.0,0.0,0.0,0.0,0.0,366,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,366.0,0.0,0.0,456.0,1492,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,877.0,667.0,0.0,0.0,0.0,0.0,877,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,210.0,0.0,0,FDIC,2025-09-30,1055847.0,2,NE,0,0,68371
