ASSET,BKCLASS,CB,CERT,CITY,DEP,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ICHBAL,ID,IFREPO,ILNDOM,ILNFOR,ILS,INSAGNT1,INSDATE,INTINC,IOTHII,ISC,ITRADE,MUTUAL,NAMEFULL,NAMEHCR,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
228612,NM,1.0,1908,WANDA,200906,2025-04-25,1932-06-01,11,11,9,MANKATO,268.0,1908_20250930,389.0,5870.0,0.0,0.0,DIF,1934-01-01,7286.0,6.0,753.0,0.0,0,THE WANDA STATE BANK,Unknown,3,2,0,0,FDIC,2025-09-30,0.0,2,MN,0,0,56294
735380,NM,1.0,19101,ABERDEEN,660678,2022-08-31,1964-05-01,2,2,5,BALTIMORE,3185.0,19101_20250930,0.0,21286.0,0.0,0.0,DIF,1964-05-01,26546.0,31.0,2044.0,0.0,0,HARFORD BANK,Unknown,1,9,0,0,FDIC,2025-09-30,0.0,4,MD,0,0,21001
24736,NM,1.0,19105,MACON,21318,2022-08-31,1964-05-11,9,9,7,CHAMPAIGN,51.0,19105_20250930,133.0,253.0,0.0,0.0,DIF,1964-05-11,650.0,0.0,213.0,0.0,0,PEOPLES BANK OF MACON,Unknown,3,1,0,0,FDIC,2025-09-30,0.0,7,IL,0,0,62544
2278534,SM,0.0,19123,MINOT,1858767,2024-06-30,1964-05-11,11,11,9,FARGO,390.0,19123_20250930,0.0,74292.0,0.0,12673.0,DIF,1964-05-11,94799.0,869.0,6575.0,0.0,0,FIRST WESTERN BANK & TRUST,WESTBRAND INC,3,20,0,0,FED,2025-09-30,1127650.0,4,ND,0,1,58701
283961,NM,1.0,1913,CASTLE ROCK,243728,2022-08-31,1916-08-16,11,11,9,MINNEAPOLIS,76.0,1913_20250930,254.0,6227.0,0.0,0.0,DIF,1934-01-01,8826.0,5.0,2264.0,0.0,0,CASTLE ROCK BANK,Unknown,3,3,0,0,FDIC,2025-09-30,0.0,8,MN,1,0,55010
663883,NM,1.0,19143,RACELAND,544195,2022-08-31,1964-06-20,13,13,6,BATON ROUGE,1294.0,19143_20250930,0.0,28659.0,0.0,0.0,DIF,1964-06-20,30638.0,42.0,643.0,0.0,0,UNITED COMMUNITY BANK,COMMUNITY BCORP OF LA INC,5,11,0,0,FDIC,2025-09-30,1977154.0,4,LA,1,0,70394
495188,NM,1.0,19163,WRENS,430843,2022-08-31,1964-07-06,5,5,6,ATLANTA,205.0,19163_20250930,12.0,23907.0,0.0,0.0,DIF,1964-07-06,25082.0,49.0,909.0,0.0,0,FIRST STATE BANK,CSRA BANK CORP,5,6,0,0,FDIC,2025-09-30,1493672.0,4,GA,0,0,30833
1082429,N,1.0,19184,CASPER,984384,2022-08-31,1964-07-27,14,14,10,BILLINGS,1943.0,19184_20250930,0.0,25366.0,0.0,67.0,DIF,1964-07-27,33181.0,43.0,5762.0,0.0,0,HILLTOP NATIONAL BANK,MIDLAND FINANCIAL CORP,4,7,0,0,OCC,2025-09-30,1054840.0,4,WY,1,1,82609
737702,NM,1.0,19212,POPLAR BLUFF,650460,2022-08-31,1964-08-29,11,11,8,ST. LOUIS,1099.0,19212_20250930,51.0,32543.0,0.0,4.0,DIF,1964-08-29,34811.0,93.0,1021.0,0.0,0,FIRST MIDWEST BANK OF THE OZARKS,MIDWEST BCORP &AFFILIATES ESOP TR,4,11,0,0,FDIC,2025-09-30,2575230.0,4,MO,1,0,63901
1796077,N,1.0,19213,OMAHA,1482687,2024-06-30,1964-09-01,11,11,10,OMAHA,4681.0,19213_20250930,0.0,66809.0,0.0,0.0,DIF,1964-09-01,75694.0,125.0,4079.0,0.0,0,SECURITY NATIONAL BANK OF OMAHA,SECURITY NATIONAL CORP,4,14,0,0,OCC,2025-09-30,1140323.0,4,NE,0,1,68124
1510469,SM,1.0,19215,PLANO,1376581,2024-08-29,1964-08-29,13,13,11,DALLAS,9281.0,19215_20250930,0.0,45256.0,0.0,1210.0,DIF,1964-08-29,56130.0,63.0,320.0,0.0,0,BENCHMARK BANK,QUINLAN BANCSHARES INC,5,7,0,0,FED,2025-09-30,1133428.0,4,TX,1,1,75024
2920819,SM,1.0,19220,DENVER,2636583,2022-08-31,1964-09-01,13,13,10,DENVER,2768.0,19220_20250930,0.0,78185.0,0.0,53.0,DIF,1964-09-01,91254.0,582.0,9666.0,0.0,0,ANB BANK,STURM FINANCIAL GROUP INC,4,33,0,0,FED,2025-09-30,2942702.0,4,CO,1,1,80206
6122027,NM,1.0,19222,FREMONT,5473001,2024-04-01,1964-09-03,14,14,12,SACRAMENTO,16318.0,19222_20250930,0.0,209960.0,0.0,0.0,DIF,1964-09-03,235958.0,981.0,8699.0,0.0,0,FREMONT BANK,FREMONT BCORP,4,23,0,0,FDIC,2025-09-30,1026801.0,4,CA,1,1,94538
51540,N,1.0,19230,MONMOUTH,44470,2022-08-31,1964-09-10,9,9,7,PRINCETON,117.0,19230_20250930,0.0,1648.0,0.0,0.0,DIF,1964-09-10,1986.0,5.0,216.0,0.0,0,COMMUNITY NATIONAL BANK IN MONMOUTH,CNB HOLDINGS INC,3,1,0,0,OCC,2025-09-30,5690367.0,2,IL,0,0,61462
335225,NM,1.0,19234,COVINGTON,295115,2022-08-31,1964-09-14,13,13,6,BATON ROUGE,2253.0,19234_20250930,0.0,16641.0,0.0,0.0,DIF,1964-09-14,19042.0,5.0,143.0,0.0,0,AMERICAN BANK,AMERICAN BANCSHARES INC,5,5,0,0,FDIC,2025-09-30,1104615.0,4,LA,0,0,70433
398402,N,1.0,19254,SPICER,342339,2025-01-17,1964-10-08,11,11,9,MANKATO,568.0,19254_20250930,0.0,16545.0,0.0,0.0,DIF,1964-10-08,18087.0,209.0,765.0,0.0,0,HERITAGE BANK NATIONAL ASSOCIATION,HERITAGE BANCSHARES GROUP EMPLOYEE STK OWNERSHIP PLAN&TR,3,5,0,0,OCC,2025-09-30,5618101.0,4,MN,1,0,56288
360304,NM,1.0,19274,HARRISBURG,320072,2024-06-30,1964-10-10,11,11,10,GRAND ISLAND,32.0,19274_20250930,637.0,15724.0,0.0,0.0,DIF,1964-10-10,17232.0,126.0,713.0,0.0,0,BANNER CAPITAL BANK,BANNER CNTY BAN EMPLOYEE STK OWNERSHIP PLAN&TR,4,6,0,0,FDIC,2025-09-30,4437426.0,2,NE,1,0,69345
144015,NM,1.0,19278,CARMINE,135934,2022-08-31,1907-07-01,13,13,11,AUSTIN,1499.0,19278_20250930,50.0,1909.0,0.0,0.0,DIF,1964-11-04,4625.0,0.0,1167.0,0.0,0,CARMINE STATE BANK,Unknown,5,1,0,0,FDIC,2025-09-30,0.0,7,TX,0,0,78932
359350,NM,1.0,19285,LOGAN,330243,2024-01-02,1964-11-24,5,5,5,SCOTT DEPOT,246.0,19285_20250930,276.0,7631.0,0.0,0.0,DIF,1964-11-24,11152.0,4.0,2995.0,0.0,0,LOGAN BANK & TRUST COMPANY,LOGAN COUNTY BANCSHARES INC,1,6,0,0,FDIC,2025-09-30,1133259.0,8,WV,0,1,25601
1096700,NM,1.0,19288,SALLISAW,959750,2024-04-01,1964-11-19,13,13,10,OKLAHOMA CITY,2697.0,19288_20250930,209.0,49271.0,0.0,0.0,DIF,1964-11-19,53974.0,32.0,1765.0,0.0,0,FIRSTAR BANK,FIRSTAR FINANCIAL CORP,5,12,0,0,FDIC,2025-09-30,3017915.0,4,OK,0,0,74955
73392,NM,1.0,1929,TRIMONT,59702,2022-08-31,1912-01-01,11,11,9,MANKATO,5.0,1929_20250930,28.0,2292.0,0.0,0.0,DIF,1934-01-01,2755.0,20.0,410.0,0.0,0,FARMERS STATE BANK OF TRIMONT,FSB HOLDING CO INC,3,2,0,0,FDIC,2025-09-30,1126185.0,2,MN,0,0,56176
5268143,N,1.0,19300,OMAHA,4664136,2024-06-30,1964-12-02,11,11,10,OMAHA,6298.0,19300_20250930,0.0,166549.0,0.0,3.0,DIF,1964-12-02,203034.0,586.0,29598.0,0.0,0,AMERICAN NATIONAL BANK,AMERICAN NATIONAL CORP,4,36,0,0,OCC,2025-09-30,1059715.0,4,NE,1,1,68114
184333,NM,1.0,1931,ELKO NEW MARKET,166580,2022-08-31,1905-06-10,11,11,9,MINNEAPOLIS,521.0,1931_20250930,0.0,5298.0,0.0,0.0,DIF,1934-01-01,6783.0,146.0,818.0,0.0,0,NEW MARKET BANK,MARKET BCORP INC,3,3,0,0,FDIC,2025-09-30,1143904.0,4,MN,0,0,55054
2592953,NM,1.0,19333,OAK BROOK,2218285,2022-08-31,1964-12-01,9,9,7,CHICAGO,7559.0,19333_20250930,0.0,86173.0,0.0,0.0,DIF,1964-12-01,106615.0,258.0,12625.0,0.0,0,REPUBLIC BANK OF CHICAGO,REPUBLIC BCORP CO,3,19,0,0,FDIC,2025-09-30,1201194.0,4,IL,0,1,60523
139726,NM,1.0,1933,NORWOOD YOUNG AM,125128,2022-08-31,1914-06-05,11,11,9,MINNEAPOLIS,765.0,1933_20250930,5.0,3807.0,0.0,6.0,DIF,1934-01-01,5105.0,9.0,513.0,0.0,0,CITIZENS STATE BANK NORWOOD YOUNG AMERICA,PIESCO INC,3,1,0,0,FDIC,2025-09-30,2780717.0,2,MN,1,0,55368
221746,NM,1.0,19349,KENNETT,201143,2022-08-31,1965-01-18,11,13,8,ST. LOUIS,152.0,19349_20250930,0.0,9079.0,0.0,15.0,DIF,1965-01-18,9339.0,11.0,82.0,0.0,0,FIRST MISSOURI BANK OF SEMO,FIRST MALDEN BANCSHARES INC,4,4,0,0,FDIC,2025-09-30,1491445.0,2,MO,1,0,63857
159148,NM,1.0,19351,ESTES PARK,142651,2022-08-31,1965-01-18,13,11,10,DENVER,156.0,19351_20250930,197.0,4647.0,0.0,0.0,DIF,1965-01-18,5763.0,7.0,756.0,0.0,0,BANK OF ESTES PARK,FIRST NATIONAL FINANCIAL CORP,4,3,0,0,FDIC,2025-09-30,1051193.0,4,CO,1,0,80517
108157,NM,1.0,19354,HODGE,89750,2022-08-31,1965-01-26,13,13,11,SHREVEPORT,260.0,19354_20250930,0.0,4347.0,0.0,0.0,DIF,1965-01-26,5108.0,2.0,499.0,0.0,0,HODGE BANK & TRUST COMPANY,HODGE BANCSHARES INC,5,1,0,0,FDIC,2025-09-30,1130678.0,4,LA,1,0,71247
946440,NM,1.0,19358,ROUND TOP,847914,2022-08-31,1912-01-01,13,13,11,AUSTIN,694.0,19358_20250930,1228.0,25795.0,0.0,0.0,DIF,1965-01-21,32243.0,24.0,4502.0,0.0,0,ROUND TOP STATE BANK,ROUND TOP BANCSHARES INC,5,7,0,0,FDIC,2025-09-30,2684721.0,4,TX,0,0,78954
