CERT,Capital_Ratio,Net_Interest_Margin,Texas_Ratio,Charge_Off_Ratio,Risk_Cluster
10004,0.0887275098090813,0.027512558373361716,0.16692488159001373,0.0,Cluster 1
10012,0.11581339139014996,0.025681994088705626,0.010552233556102708,0.0,Cluster 1
10015,0.11593806803146053,0.0276602851924637,0.09350795135640785,0.0,Cluster 1
10044,0.19229777074809587,0.026334243560664064,0.06479645554195683,0.0,Cluster 1
10055,0.1053885121585517,0.03201453719757878,0.0,0.0,Cluster 1
10057,0.21672980190026703,0.025498354343911074,0.007277936962750716,0.0,Cluster 1
1005,0.08470736608213165,0.02096807901400767,0.01847718121522178,0.0,Cluster 1
10072,0.09907345239693836,0.025023499395729825,0.037611818921116834,0.0,Cluster 1
10074,0.09735060305047223,0.03128099708178198,0.01299468399291199,0.0,Cluster 1
10075,0.1112475442043222,0.025560740013097577,0.0,0.0,Cluster 1
10077,0.2940485721910862,0.025647184414198027,0.0,0.0,Cluster 1
1008,0.12348356009070295,0.032171201814058956,0.1597612762538735,0.0,Cluster 1
10101,0.10576003361022338,0.030516369687983734,0.01739398731125981,0.0,Cluster 1
10111,0.12253281717329019,0.025522255733966586,0.03525366904998119,0.0,Cluster 1
10118,0.10678329054046856,0.022980301077101733,0.09807442881372842,0.0,Cluster 1
10120,0.16785773094022724,0.01521488555903178,0.1079066117323916,0.0,Cluster 1
10121,0.21153116201073008,0.024117203832012372,2.6782366489903047e-05,0.0,Cluster 1
10122,0.0989940186077991,0.020879937065733788,0.0,0.0,Cluster 1
10125,0.09088063076120355,0.01847643341642994,0.0,0.0,Cluster 1
10127,0.12587232538121004,0.028786737579931138,0.024515341169287132,0.0,Cluster 1
10132,0.10918907548294358,0.026217438558356416,0.0,0.0,Cluster 1
10137,0.11618105642546017,0.027579505960611383,0.1524303073624017,0.0,Cluster 1
10145,0.3032472939217319,0.03234804329725229,0.0,0.0,Cluster 1
1014,0.08784640387718368,0.02384607767182576,0.046127893437165966,0.0,Cluster 1
10157,0.08790305857957491,0.023698807672369104,0.005779494589095627,0.0,Cluster 1
10159,0.09302139928903833,0.025921456109621464,0.0020950073199050936,0.0,Cluster 1
10162,0.11243914119243355,0.029820815707558464,0.03318544809228039,0.0,Cluster 1
10163,0.1036798154753006,0.03015184845054781,0.009516747002842664,0.0,Cluster 1
10165,0.09677746734484323,0.030792559161353487,0.08373943618530627,0.0,Cluster 1
10167,0.13504446816079688,0.023315546069014585,0.02191723084218013,0.0,Cluster 1
10168,0.09314457456204449,0.02727809936522662,0.0005457398185415103,0.0,Cluster 1
10169,0.09204628181100045,0.03078329022165084,0.0,0.0,Cluster 1
10174,0.08296836098642485,0.03277481963399786,0.0,0.0,Cluster 1
10175,0.11147889205267376,0.028506642862262416,0.10403880998304986,0.0,Cluster 1
10178,0.1011635333648052,0.03231420029065193,0.07008875468935859,0.0,Cluster 1
10185,0.12600290999792144,0.035058546386752584,0.028593423512592104,0.0,Cluster 1
10187,0.17133943427620632,0.022296173044925125,0.026705511046370478,0.0,Cluster 1
10191,0.11925528430705666,0.03651525457889301,0.05006760182524928,0.0,Cluster 1
10194,0.08142056156642867,0.024453545928424372,0.004303967720242098,0.0,Cluster 1
10197,0.08583419512244099,0.02329340656030683,0.16130541583810973,0.0,Cluster 1
10200,0.13573873970257835,0.03276452337648443,0.0,0.0,Cluster 1
10202,0.09288171165393809,0.030128840436075322,0.2513181019332162,0.0,Cluster 1
10212,0.1266524130013394,0.020157566782858998,0.07369942196531792,0.0,Cluster 1
10214,0.12660866153188224,0.02383287996155525,0.010498916156665419,0.0,Cluster 1
10218,0.08440785093354089,0.021112121808878094,0.031885346072658596,0.0,Cluster 1
1022,0.12410502685701065,0.015148104376535914,0.025016375270821786,0.0,Cluster 1
10236,0.10956949844750902,0.0279168648074072,0.2149093694153689,0.0,Cluster 1
10243,0.09427144980287806,0.030115603335498856,0.12848107240630605,0.0,Cluster 1
10248,0.09203102372264604,0.028373106366319817,0.1632541032051,0.0,Cluster 1
10250,0.09354828367460351,0.025167785234899327,0.04769520763123322,0.0,Cluster 1
10253,0.13505908006011139,0.02896543595485753,0.0,0.0,Cluster 1
10255,0.08426455286532326,0.017815100571709454,0.00013629363099862345,0.0,Cluster 1
10266,0.13155730172551452,0.02379625249697952,0.013924514474166361,0.0,Cluster 1
1027,0.08373927481709023,0.02732185078409522,0.18029896040517543,0.0,Cluster 1
10280,0.15178537169343637,0.03215434083601286,0.17488245108448355,0.0,Cluster 1
1028,0.10210787352758835,0.028537662740235586,0.05111566484517304,0.0,Cluster 1
10307,0.10806882684166341,0.033394537673204785,0.03105329250466453,0.0,Cluster 1
10308,0.09582948292275187,0.027350530544010772,0.07627299335155356,0.0,Cluster 1
10315,0.08422683607065386,0.02454291911992563,0.014256806475349522,0.0,Cluster 1
10317,0.15464696530440475,0.02422893481717011,0.014537626085484144,0.0,Cluster 1
10319,0.09329727024422449,0.023490701153770385,0.22119500085601781,0.0,Cluster 1
10327,0.17844958721625734,0.04071716560086249,0.05478771828188364,0.0,Cluster 1
10330,0.10485818101216722,0.03386556684055952,0.22595500528461424,0.0,Cluster 1
10344,0.13410555181896797,0.02872512536323527,0.005964195462951309,0.0,Cluster 1
10345,0.10538010831822599,0.02807408375624421,0.0,0.0,Cluster 1
10352,0.11333584479186287,0.03642870597099265,0.006481635366461692,0.0,Cluster 1
10363,0.11129881619255937,0.03032150419135646,0.008580734478768868,0.0,Cluster 1
10374,0.13527920220996265,0.023817046200209007,0.008024432600754536,0.0,Cluster 1
10378,0.08963929082454511,0.02752623794562684,0.07132960072390002,0.0,Cluster 1
10380,0.11573944917628737,0.024826609156783166,0.009557744707608468,0.0,Cluster 1
10382,0.11636794862010462,0.027210445053687058,0.06381798002219756,0.0,Cluster 1
10383,0.09705861893057552,0.019997603920295568,0.013458360707957555,0.0,Cluster 1
10384,0.09024908994232893,0.028020427361913722,0.12009970541581691,0.0,Cluster 1
10407,0.1981188902657304,0.023113727110009637,0.005994005994005994,0.0,Cluster 1
10434,0.11797749160643431,0.018128153675310253,0.20300544944129464,0.0,Cluster 1
10437,0.11836928852433724,0.024748656501504204,0.06429890300858043,0.0,Cluster 1
10438,0.11591179253293224,0.023066721654819954,0.11584344914190038,0.0,Cluster 1
10446,0.10636754074745912,0.031040093899218395,0.008426543612378995,0.0,Cluster 1
10458,0.09141888265810084,0.027066335855895095,0.05785264590777608,0.0,Cluster 1
10460,0.1407712706476245,0.03872328189399022,0.0027559821023279943,0.0,Cluster 1
10463,0.07911734232744748,0.018429116240107575,0.014488715519643355,0.0,Cluster 1
10464,0.07726465364120781,0.020091302857498987,0.0038314176245210726,0.0,Cluster 1
10467,0.13039924682123386,0.03432239775701708,0.010036496350364963,0.0,Cluster 1
10469,0.18601385148133898,0.02449018853405156,0.028648257317199298,0.0,Cluster 1
10471,0.09544142513108678,0.0198807836171412,0.0,0.0,Cluster 1
10473,0.08843937653508158,0.026032181847047507,0.011510031678986272,0.0,Cluster 1
10474,0.10264618106436971,0.024793148432753136,0.13174903701769275,0.0,Cluster 1
1047,0.10850601959302855,0.024527225939598014,0.018799040174299637,0.0,Cluster 1
10492,0.13317407441083842,0.023450738570141433,0.0,0.0,Cluster 1
10494,0.1337448900216812,0.02029647528728974,0.026275625953883594,0.0,Cluster 1
10497,0.11730809527135573,0.023797882637024915,0.015098030876536384,0.0,Cluster 1
1049,0.13589179100444265,0.024504840796001976,0.010420257192098634,0.0,Cluster 1
10500,0.1357682185248225,0.02009492603117713,0.013917269564256917,0.0,Cluster 1
10503,0.15861109790309544,0.01960201607151348,0.0,0.0,Cluster 1
10505,0.10471952270322743,0.02353762420514163,0.030048953234038122,0.0,Cluster 1
10520,0.08134088134088134,0.03287379287379288,0.0022379912663755457,0.0,Cluster 1
10523,0.11820899277722624,0.015654357047332278,0.007657959882469981,0.0,Cluster 1
10528,0.13381512806408924,0.03332988416231436,0.032965691262056895,0.0,Cluster 1
10531,0.09953161592505855,0.03048190367836642,0.1190202263870848,0.0,Cluster 1
10532,0.11556024320635315,0.03270877280059561,0.1323687318801675,0.0,Cluster 1
10533,0.1145893157316424,0.02950748307882736,0.07018949102892713,0.0,Cluster 1
10561,0.11506582155046319,0.028762215674220423,0.007553426676492263,0.0,Cluster 1
10567,0.08116308978377944,0.03456313801141387,0.02574894775934637,0.0,Cluster 1
