Risk_Cluster,Capital_Ratio,Net_Interest_Margin,Texas_Ratio,Charge_Off_Ratio
Cluster 0,0.101236,0.024055,0.064922,4.9e-05
Cluster 1,0.117688,0.025703,0.044776,0.0
