BKCLASS,CB,CERT,CITY,CRAG,CRAGSM,CRAUTO,CRCI,CRCINUS,CRCON,CRCONOTH,CRCRCD,CRDEP,CRDEPNUS,CRFORGV,CRLNLS,CRLS,CROTHER,CRRE,CRREAG,CRRECONS,CRREFOR,CRRELOC,CRREMULT,CRRENRES,CRRENUS,CRREOFFDOM,CRRERES,CRRERSF2,CRRERSFM,DRAG,DRAGSM,DRAUTO,DRCI,DRCINUS,DRCON,DRCONOTH,DRCRCD,DRDEP,DRDEPNUS,DRFORGV,DRLNLS,DRLS,DROTHER,DRRE,DRREAG,DRRECONS,DRREFOR,DRRELOC,DRREMULT,DRRENRES,DRRENUS,DRREOFFDOM,DRRERES,DRRERSF2,DRRERSFM,EFFDATE,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,ID,INSAGNT1,INSDATE,MUTUAL,NAMEFULL,NAMEHCR,NTAG,NTAGSM,NTAUTO,NTCI,NTCINUS,NTCON,NTCONOTH,NTCRCD,NTDEP,NTDEPNUS,NTFORGV,NTLNLS,NTLS,NTOTHER,NTRE,NTREAG,NTRECONS,NTREFOR,NTRELOC,NTREMULT,NTRENRES,NTRENUS,NTREOFFDOM,NTRERES,NTRERSF2,NTRERSFM,OCCDIST,OFFDOM,OFFOA,PARCERT,REGAGNT,REPDTE,RSSDHCR,SPECGRP,STALP,SUBCHAPS,TRUST,ZIP
NM,1.0,13715,SPIRIT LAKE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150,0.0,0.0,0.0,2024-06-30,1928-10-05,11,11,7,SIOUX CITY,13715_20250930,DIF,1934-01-20,0,THE STATE BANK,STATE BANCO LTD,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,-2.0,150.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150,0.0,0.0,0.0,4,2,0,0,FDIC,2025-09-30,1245200.0,8,IA,1,1,51360
NM,1.0,13716,MIDDLEFIELD,0.0,0.0,0.0,178.0,0.0,104.0,104.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,191.0,0.0,0.0,0.0,9.0,0.0,111.0,0.0,191,80.0,0.0,71.0,0.0,0.0,0.0,55.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,40.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,40,22.0,0.0,18.0,2022-12-01,1902-03-15,9,9,4,COLUMBUS,13716_20250930,DIF,1934-01-20,0,THE MIDDLEFIELD BANKING COMPANY,MIDDLEFIELD BANC CORP,0.0,0.0,0.0,-123.0,0.0,-59.0,-59.0,0.0,0.0,0.0,0.0,-333.0,0.0,0.0,-151.0,0.0,0.0,0.0,-5.0,0.0,-93.0,0.0,-151,-58.0,0.0,-53.0,3,21,0,0,FDIC,2025-09-30,1398740.0,4,OH,0,0,44062
NM,1.0,13729,PRESCOTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1904-09-26,11,11,10,KANSAS CITY,13729_20250930,DIF,1934-01-01,0,PRESCOTT STATE BANK,SOUTHEAST KS BANCSHARES INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,1,0,0,FDIC,2025-09-30,2124816.0,2,KS,0,0,66767
NM,1.0,13735,PRIMGHAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,500.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-06-30,1894-11-15,11,11,7,SIOUX CITY,13735_20250930,DIF,1934-01-29,0,SAVINGS BANK,CAPITAL BANCSHARES INC,0.0,0.0,10.0,500.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,3,0,0,FDIC,2025-09-30,3104794.0,2,IA,1,1,51245
NM,1.0,13736,MAYNARD,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-06-30,1895-01-01,11,11,7,CEDAR RAPIDS,13736_20250930,DIF,1934-01-13,0,MAYNARD SAVINGS BANK,FAYETTE BCORP,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-32.0,0.0,-32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,3,0,0,FDIC,2025-09-30,1204355.0,2,IA,1,1,50655
NM,1.0,13737,BURLINGTON,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,2024-06-30,1916-01-01,11,11,7,CEDAR RAPIDS,13737_20250930,DIF,1934-01-24,0,FARMERS & MERCHANTS BANK & TRUST,FARMERS&MERCHANTS BANCSHARES,0.0,0.0,0.0,-3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,-25.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-25,-23.0,0.0,-23.0,4,4,0,0,FDIC,2025-09-30,2178631.0,8,IA,0,1,52601
NM,1.0,1373,NATCHITOCHES,0.0,0.0,0.0,1937.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,2034.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,3894.0,0.0,697.0,697.0,0.0,0.0,0.0,0.0,5298.0,0.0,0.0,707.0,0.0,703.0,0.0,0.0,0.0,4.0,0.0,707,0.0,0.0,0.0,2024-11-15,1903-10-05,13,13,11,SHREVEPORT,1373_20250930,DIF,1934-01-01,0,BOM BANK,GRANT BANCSHARES INC,0.0,0.0,0.0,1957.0,0.0,612.0,612.0,0.0,0.0,0.0,0.0,3264.0,0.0,0.0,695.0,-3.0,694.0,0.0,0.0,0.0,4.0,0.0,695,0.0,0.0,0.0,5,26,0,0,FDIC,2025-09-30,3203138.0,4,LA,0,0,71457
N,1.0,13748,OGDENSBURG,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,62.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1922-09-27,2,2,2,SYRACUSE,13748_20250930,DIF,1934-01-24,0,THE UPSTATE NATIONAL BANK,Unknown,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62,-62.0,0.0,-62.0,1,4,0,0,OCC,2025-09-30,0.0,4,NY,0,0,13669
NM,1.0,1374,WHITE CASTLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2022-08-31,1927-03-01,13,13,6,BATON ROUGE,1374_20250930,DIF,1934-01-01,0,THE BANK OF COMMERCE,COMMERCE BANCSHARES INC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5,1,0,0,FDIC,2025-09-30,3135471.0,4,LA,1,0,70788
NM,1.0,13753,BLUE GRASS,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2024-06-30,1902-01-01,11,11,7,CEDAR RAPIDS,13753_20250930,DIF,1934-01-01,0,BLUE GRASS SAVINGS BANK,E M F CORP,0.0,0.0,0.0,-674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4,2,0,0,FDIC,2025-09-30,1143913.0,8,IA,0,1,52726
