ALLOTHL,ASSET2,ASSET5,ASSTLT,AVASSETJ,BKCLASS,BRO,BROINS,CB,CD1T3,CD1T3S,CD3LES,CD3LESS,CD3T12,CD3T12S,CDOV3,CDOV3S,CERT,CITY,COREDEP,DDT,DEP,DEPCSBQ,DEPDOM,DEPFBKF,DEPFGOVF,DEPFOR,DEPIDOM,DEPIFOR,DEPINS,DEPIPCCF,DEPLGAMT,DEPLGB,DEPLGRA,DEPLGRN,DEPLSNB,DEPNIDOM,DEPNIFOR,DEPSMAMT,DEPSMB,DEPSMRA,DEPSMRN,DEPUNA,DEPUSBKF,DEPUSMF,EFFDATE,EQ,EQCBHCTR,EQCCOMPI,EQCDIVC,EQCDIVP,EQCMRG,EQCONSUB,EQCPREV,EQCREST,EQCS,EQCSTKRX,EQCTRSTX,EQPP,EQSUR,EQTOT,EQUPTOT,ERNAST,ESTINS,ESTYMD,FDICDBS,FDICSUPV,FED,FLDOFF,FREPP,ID,INSAGNT1,INSDATE,IRAKEOGH,LIAB,LIABEQ,MUTUAL,NAMEFULL,NAMEHCR,NETINC,NTR,NTRCDSM,NTRCOMOT,NTRFCFG,NTRIPC,NTRMUNI,NTRSMMDA,NTRSOTH,NTRTMLGJ,NTRTMMED,NTRUSGOV,OALIFGEN,OALIFHYB,OALIFINS,OALIFSEP,OCCDIST,OFFDOM,OFFOA,OTBFH1L,OTBFH1T3,OTBFH3T5,OTBFHOV5,OTBFHSTA,OTBOT1L,OTBOT1T3,OTBOT3T5,OTBOTOV5,OTHBFHLB,OTHBOT1L,OTHBRF,PARCERT,RBCT1J,RBCT2,REGAGNT,REPDTE,RSSDHCR,RWAJT,SPECGRP,STALP,SUBCHAPS,SUBND,TRADEL,TRN,TRNCBO,TRNFCFG,TRNIPCOC,TRNMUNI,TRNNIA,TRNNIN,TRNUSGOV,TRUST,TS,VOLIAB,ZIP
9367,858278.5,847043.25,71410.0,860208.0,NM,0.0,0.0,1.0,1378.0,5602.0,21991.0,31438.0,80641.0,160193.0,459.0,804.0,1426,CHARLESTON,547935.0,218454.0,652404,0.0,652404,0.0,0.0,0.0,531618.0,0.0,537011,0.0,209958,381,5466,14,0.0,120786.0,0.0,417345,30654.0,20915,534.0,0,0.0,0.0,2022-08-31,100791.0,0.0,2524.0,6450.0,0.0,0.0,0.0,94980.0,0.0,300.0,0.0,0.0,0.0,45555.0,100791.0,54936.0,796199.0,82.15134200723591,1930-01-01,11,11,8,ST. LOUIS,0,1426_20250930,DIF,1934-01-01,0.0,760771,861562,0,FOCUS BANK,SECURITY STATE BANCSHARES INC,9737.0,367853,95798.0,0,0,353723,14130.0,13920.0,51428.0,104469,102239.0,0.0,20297.0,0.0,20297.0,0.0,4,11,0,81500.0,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99000.0,0.0,99000,0,105450.0,0.0,FDIC,2025-09-30,1248573.0,0.0,4,MO,1,0.0,0,284551,1234,0,272996,10321.0,0.0,0.0,0.0,0,433950.0,185969.0,63834
1112,191837.5,186031.5,75488.0,191676.0,NM,31831.0,31831.0,1.0,1580.0,12862.0,3038.0,4944.0,18640.0,28130.0,264.0,24595.0,14275,MILLIGAN,91034.0,13994.0,146387,0.0,146387,0.0,0.0,0.0,132393.0,0.0,124425,0.0,44073,89,1858,4,748.0,13994.0,0.0,95482,2854.0,5693,152.0,0,0.0,0.0,2024-06-30,22600.0,0.0,0.0,1300.0,0.0,0.0,0.0,21670.0,0.0,125.0,14.0,0.0,0.0,18875.0,22600.0,3600.0,187460.0,84.58186613734314,1903-06-10,11,11,10,GRAND ISLAND,0,14275_20250930,DIF,1934-04-24,0.0,173230,195830,0,FARMERS AND MERCHANTS BANK,FM GROUP INC,2216.0,121983,49107.0,1736,0,111074,9173.0,13882.0,14048.0,23522,21424.0,0.0,0.0,0.0,0.0,0.0,4,2,0,7685.0,10247.0,5000.0,2799.0,10000.0,0.0,0.0,0.0,0.0,25731.0,0.0,25731,0,22324.0,1709.0,FDIC,2025-09-30,2230249.0,161266.0,2,NE,1,0.0,0,24404,3,0,23510,891.0,0.0,0.0,0.0,0,132393.0,23707.0,68406
6709,630969.5,623486.25,82542.0,624416.0,NM,6.0,6.0,1.0,8470.0,11283.0,13811.0,28376.0,36165.0,44449.0,960.0,1566.0,14276,GLADSTONE,479028.0,105131.0,538440,0.0,538440,0.0,0.0,0.0,433309.0,0.0,369045,0.0,250156,324,2524,6,0.0,105131.0,0.0,275085,19684.0,11460,418.0,0,0.0,0.0,2022-08-31,77699.0,0.0,4031.0,5704.0,0.0,0.0,0.0,70908.0,0.0,200.0,0.0,0.0,0.0,30400.0,77699.0,47099.0,581787.0,68.43989058370809,1916-08-14,9,9,9,APPLETON,0,14276_20250930,DIF,1934-04-23,0.0,565149,642848,0,"FIRST BANK, UPPER MICHIGAN",FIRST BANCSHARES CORP,8463.0,269328,42495.0,0,0,248129,21199.0,46743.0,77505.0,59406,43180.0,0.0,15198.0,0.0,15198.0,0.0,3,9,0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,20000,0,73997.0,5349.0,FDIC,2025-09-30,1978414.0,489865.0,4,MI,1,0.0,0,269112,749,0,213348,55015.0,0.0,0.0,0.0,1,433309.0,69406.0,49837
224,95277.0,93932.25,28453.0,96196.0,NM,0.0,0.0,1.0,845.0,1824.0,10765.0,5387.0,8950.0,13443.0,0.0,252.0,1427,FULTON,61737.0,20857.0,82297,0.0,82297,0.0,0.0,0.0,59032.0,0.0,44365,0.0,53558,62,573,2,0.0,23265.0,0.0,26948,2993.0,1417,62.0,0,0.0,0.0,2024-06-30,10867.0,0.0,735.0,0.0,0.0,0.0,0.0,9138.0,0.0,200.0,0.0,0.0,0.0,1200.0,10867.0,9467.0,94288.0,53.77836501163693,1930-01-25,11,11,8,COLUMBIA MO,0,1427_20250930,DIF,1934-01-01,0.0,85521,96388,0,UNITED SECURITY BANK,MID-MO BANCSHARES INC,993.0,54358,13050.0,0,0,45417,8941.0,0.0,12893.0,20560,7856.0,0.0,0.0,0.0,0.0,0.0,4,3,0,0.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0.0,3000,0,12287.0,0.0,FDIC,2025-09-30,1247736.0,0.0,8,MO,1,0.0,0,27940,0,0,25666,2274.0,0.0,0.0,0.0,0,61441.0,20560.0,65251
808,76206.0,74871.0,9925.0,75724.0,SM,9.0,9.0,1.0,0.0,1900.0,1000.0,5573.0,1128.0,11721.0,0.0,79.0,14281,UTICA,57956.0,14186.0,60093,0.0,60093,0.0,0.0,0.0,48288.0,0.0,52953,0.0,14499,29,0,0,0.0,11805.0,0.0,45185,3064.0,518,71.0,0,0.0,0.0,2024-06-30,10885.0,0.0,5.0,300.0,0.0,0.0,0.0,10697.0,0.0,30.0,0.0,0.0,0.0,9669.0,10885.0,1186.0,70552.0,87.95887179827912,1882-01-01,11,11,10,OMAHA,0,14281_20250930,DIF,1934-04-16,0.0,64164,75049,0,FIRST BANK OF UTICA,FIRST NATIONAL UTICA CO,483.0,36631,9987.0,9,0,31745,4877.0,4780.0,10450.0,2128,9286.0,0.0,0.0,0.0,0.0,0.0,4,4,0,386.0,676.0,508.0,1693.0,0.0,0.0,0.0,0.0,0.0,3263.0,0.0,3263,0,10885.0,0.0,FED,2025-09-30,1065109.0,0.0,2,NE,0,0.0,0,23462,0,0,19599,3863.0,0.0,0.0,0.0,1,45907.0,2514.0,68456
1364,182834.5,168778.75,27435.0,204292.0,SM,2071.0,2071.0,1.0,2349.0,2505.0,949.0,18172.0,8309.0,23585.0,0.0,189.0,14291,WAPELLO,161466.0,32298.0,175144,0.0,175144,0.0,0.0,0.0,142846.0,0.0,141350,0.0,55767,86,0,0,0.0,32298.0,0.0,118613,7514.0,1237,71.0,0,0.0,0.0,2025-08-02,19915.0,0.0,2428.0,1881.0,0.0,-536.0,0.0,20035.0,0.0,100.0,-694.0,0.0,0.0,10732.0,19915.0,9083.0,154202.0,80.48765210657282,1931-02-13,11,11,7,CEDAR RAPIDS,0,14291_20250930,DIF,1934-04-25,0.0,181586,201501,0,BANK,MORNING SUN BANK CORP,563.0,120017,23773.0,494,0,113112,6411.0,5687.0,58272.0,11607,20678.0,0.0,0.0,0.0,945.0,945.0,4,7,0,2896.0,0.0,0.0,2182.0,0.0,0.0,0.0,0.0,0.0,5078.0,0.0,5078,0,18833.0,0.0,FED,2025-09-30,1205156.0,0.0,4,IA,0,0.0,0,55127,0,0,45826,9301.0,0.0,0.0,0.0,0,142846.0,11607.0,52653
313,103629.5,106911.25,35389.0,103372.0,NM,0.0,0.0,1.0,0.0,271.0,12057.0,6105.0,2520.0,7747.0,0.0,133.0,14293,ROCK PORT,74139.0,24940.0,88716,0.0,88716,0.0,0.0,0.0,67383.0,0.0,67966,0.0,34915,56,0,0,0.0,21333.0,0.0,52876,3883.0,1090,196.0,0,0.0,0.0,2022-08-31,11374.0,0.0,1414.0,400.0,0.0,0.0,0.0,9609.0,0.0,400.0,0.0,0.0,0.0,1120.0,11374.0,9854.0,98992.0,76.46853658262171,1902-03-28,11,11,10,KANSAS CITY,2529,14293_20250930,DIF,1934-04-26,0.0,91558,102932,0,CITIZENS BANK & TRUST,Unknown,751.0,48993,8942.0,0,0,39700,9293.0,7591.0,12571.0,14577,5313.0,0.0,656.0,0.0,656.0,0.0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13173.0,0.0,FDIC,2025-09-30,0.0,0.0,2,MO,1,0.0,0,39723,0,0,30430,9293.0,0.0,0.0,0.0,1,63776.0,17106.0,64482
1875,236744.5,237527.0,77660.0,233632.0,NM,4109.0,4109.0,1.0,863.0,3801.0,3798.0,13983.0,10076.0,24774.0,0.0,2373.0,14311,KENESAW,126869.0,22931.0,145715,0.0,145715,0.0,0.0,0.0,122784.0,0.0,118229,0.0,50476,91,805,3,0.0,22931.0,0.0,88119,4901.0,6610,163.0,0,0.0,0.0,2024-06-30,23560.0,0.0,1350.0,1100.0,0.0,0.0,0.0,20374.0,0.0,400.0,0.0,0.0,0.0,1700.0,23560.0,21460.0,221939.0,80.97322101225943,1878-01-01,11,11,10,GRAND ISLAND,0,14311_20250930,DIF,1934-01-01,0.0,212715,236275,0,ADAMS COUNTY BANK,FIRST KENESAW CO,2936.0,92042,19151.0,764,0,86577,4701.0,9475.0,22900.0,14737,25779.0,0.0,3190.0,1090.0,4280.0,0.0,4,2,0,6067.0,4135.0,4966.0,49617.0,24396.0,340.0,0.0,0.0,0.0,64785.0,340.0,65125,0,27322.0,1451.0,FDIC,2025-09-30,1053870.0,181439.0,2,NE,1,0.0,0,53673,0,0,35416,18257.0,0.0,0.0,0.0,0,122784.0,21144.0,68956
2224,516688.0,522352.0,96777.0,517625.0,SM,0.0,0.0,1.0,2776.0,9587.0,6528.0,15365.0,6920.0,21212.0,0.0,252.0,14312,HASTINGS,420781.0,46711.0,437005,0.0,437005,0.0,0.0,0.0,390294.0,0.0,234372,0.0,257386,217,0,0,0.0,46711.0,0.0,178469,11292.0,1653,131.0,0,0.0,0.0,2024-06-30,55995.0,0.0,0.0,0.0,0.0,0.0,0.0,53341.0,0.0,153.0,0.0,0.0,0.0,50266.0,55995.0,5576.0,481701.0,53.56976329575688,1893-01-01,11,11,10,GRAND ISLAND,1901,14312_20250930,DIF,1934-05-02,1650.0,458930,514925,0,FIVE POINTS BANK OF HASTINGS,HOMETOWN BANC CORP,2654.0,283454,25623.0,0,0,208974,74480.0,189666.0,31148.0,16224,20793.0,0.0,13917.0,0.0,13917.0,0.0,4,2,0,17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17800.0,0.0,17800,0,55995.0,0.0,FED,2025-09-30,2482196.0,0.0,2,NE,0,0.0,0,153551,0,0,151381,2170.0,0.0,0.0,0.0,0,390294.0,35925.0,68901
781,112780.0,109571.75,12207.0,112424.0,NM,7386.0,997.0,1.0,800.0,3264.0,3454.0,6393.0,2322.0,13955.0,1174.0,1128.0,14316,BENTON,84583.0,16042.0,93330,0.0,93330,0.0,0.0,0.0,76998.0,0.0,76456,0.0,26984,39,0,0,0.0,16332.0,0.0,64863,2759.0,1843,200.0,0,0.0,0.0,2022-08-31,15063.0,1139.0,64.0,308.0,0.0,0.0,0.0,12598.0,0.0,60.0,0.0,0.0,0.0,5512.0,15063.0,9491.0,110330.0,81.60529405486177,1894-12-05,9,9,7,MADISON,0,14316_20250930,DIF,1934-05-05,0.0,100736,115799,0,THE BENTON STATE BANK,BSB COMMUNITY BCORP INC,1570.0,53803,12733.0,68,0,53717,18.0,8349.0,12965.0,7750,12006.0,0.0,536.0,0.0,536.0,0.0,3,3,0,0.0,2125.0,4000.0,500.0,0.0,0.0,0.0,0.0,0.0,6625.0,0.0,6625,0,15130.0,0.0,FDIC,2025-09-30,2983246.0,0.0,2,WI,1,0.0,0,39527,248,0,34685,4594.0,0.0,0.0,0.0,0,77288.0,7750.0,53803
