CERT,anomaly_flag,anomaly_score
10004,1,0.027297311970639726
10012,1,0.12549419508341292
10015,1,0.09328426870451134
10044,1,0.022997103847821165
10055,1,0.09356133495813584
10057,1,0.005778519045597674
1005,1,0.10384353342970876
10072,1,0.12487864948716437
10074,1,0.10575191170331161
10075,1,0.13267726449442957
10077,-1,-0.10350437670023027
1008,1,0.022856268739968655
10101,1,0.11226773294118536
10111,1,0.12385024077025908
10118,1,0.08146207519205656
10120,-1,-0.04655095899703421
10121,1,0.026917684944959663
10122,1,0.11816871973304255
10125,1,0.09354646032516095
10127,1,0.11983841344939816
10132,1,0.1299219184231823
10137,1,0.052624678749092435
10145,-1,-0.14205519174101944
1014,1,0.11484075118627601
10157,1,0.1152301196552481
10159,1,0.11437983908787941
10162,1,0.11551652901406662
10163,1,0.11465321404866147
10165,1,0.08248490652894952
10167,1,0.11608378346757658
10168,1,0.11815910326014994
10169,1,0.09064504501015536
10174,1,0.05410760033981349
10175,1,0.08539212708680033
10178,1,0.08205733279137839
10185,1,0.05984295694556763
10187,1,0.0625063636767838
10191,1,0.05125993160633113
10194,1,0.09404421773814842
10197,1,0.011723100241191275
10200,1,0.08121683620059056
10202,-1,-0.04644480750231095
10212,1,0.078190450263525
10214,1,0.11591553814279215
10218,1,0.0959097266093395
1022,1,0.03643702080669675
10236,-1,-0.0013677044020450335
10243,1,0.057681194092222
10248,1,0.03544815463608686
10250,1,0.12515618515965482
10253,1,0.10741623376734416
10255,1,0.06863425496826803
10266,1,0.11999262924263221
1027,-1,-0.005813032422050224
10280,-1,-0.03733344784305126
1028,1,0.12288078070905656
10307,1,0.0792895817590652
10308,1,0.10436654093621794
10315,1,0.10740379710396869
10317,1,0.08927629891598171
10319,-1,-0.01968555340808642
10327,-1,-0.09553935547637304
10330,-1,-0.04813524934385738
10344,1,0.1085794312921427
10345,1,0.1258444348605715
10352,1,0.03937149233562304
10363,1,0.10587197105075236
10374,1,0.10908651589880591
10378,1,0.09872264676573644
10380,1,0.1231755319457023
10382,1,0.12361905627064773
10383,1,0.11096395791603403
10384,1,0.06816914133071433
10407,1,0.03625517519581556
10434,-1,-0.025007535026933536
10437,1,0.12043632644692015
10438,1,0.0763135622777304
10446,1,0.09821264991378942
10458,1,0.11205427144411995
10460,1,0.004952335937294217
10463,1,0.07795168090088722
10464,1,0.06956971276811375
10467,1,0.06428897275531475
10469,1,0.06258057268437028
10471,1,0.10602586790818114
10473,1,0.11384162212916593
10474,1,0.0787501432112821
1047,1,0.131353821331807
10492,1,0.11743730785339018
10494,1,0.10599824866064128
10497,1,0.13235617376399006
1049,1,0.11180516086111758
10500,1,0.0987294677025134
10503,1,0.06983173241184837
10505,1,0.12847961572290478
10520,1,0.05093780144003929
10523,1,0.059352074813214195
10528,1,0.07756881399243376
10531,1,0.06299552466153346
10532,1,0.0395011310234884
10533,1,0.10312864352054624
10561,1,0.12129984038190073
10567,1,0.03513265398701254
10571,1,0.12114567860110953
10576,1,0.09278217729458282
1058,1,0.1259589187242825
10594,1,0.05570735623872891
10595,1,0.07128190895967806
105,-1,-0.004922361182813084
10608,1,0.03492102980141476
1060,1,0.13357184787453297
10618,1,0.1024573480201818
10619,1,0.13223701096232854
10623,1,0.054622138366686224
10626,1,0.08054944073707476
